"zone";"exc_id";"beh_typ";"y";"m";"sdev"
4;"LV1";"EXC";2011;9;0,8267973
5;"LV1";"EXC";2011;9;0
1;"LV1";"EXC";2011;9;24,15566
6;"LV1";"BGR";2011;9;34,22627
7;"LV1";"BGR";2011;9;16,01842
8;"LV1";"BGR";2011;9;1,316957
9;"LV1";"BGR";2011;9;43,87656
2;"LV2";"EXC";2011;9;18,70453
3;"LV2";"EXC";2011;9;25,40546
4;"LV2";"EXC";2011;9;38,55713
5;"LV2";"EXC";2011;9;41,70277
1;"LV2";"EXC";2011;9;18,67987
6;"LV2";"BGR";2011;9;23,61797
7;"LV2";"BGR";2011;9;12,31979
8;"LV2";"BGR";2011;9;11,36263
9;"LV2";"BGR";2011;9;15,67629
1;"LV2";"EXC";2012;6;8,866193
5;"LV2";"EXC";2012;6;8,037995
4;"LV2";"EXC";2012;6;11,84272
2;"LV2";"EXC";2012;6;5,035809
3;"LV2";"EXC";2012;6;4,145781
6;"LV2";"BGR";2012;6;5,196152
7;"LV2";"BGR";2012;6;5,285594
8;"LV2";"BGR";2012;6;1,581139
9;"LV2";"BGR";2012;6;10,84839
1;"LV1";"EXC";2012;6;9,538573
2;"LV1";"EXC";2012;6;7,034513
3;"LV1";"EXC";2012;6;7,736884
4;"LV1";"EXC";2012;6;12,3079
5;"LV1";"EXC";2012;6;14,45467
6;"LV1";"BGR";2012;6;0
7;"LV1";"BGR";2012;6;0
8;"LV1";"BGR";2012;6;10,38554
9;"LV1";"BGR";2012;6;4,833154
1;"WD2";"EXC";2012;6;0,9921567
4;"WD2";"EXC";2012;6;4,299346
5;"WD2";"EXC";2012;6;0,8569568
2;"WD2";"EXC";2012;6;13,48089
3;"WD2";"EXC";2012;6;0
7;"WD2";"BGR";2012;6;0
6;"WD2";"BGR";2012;6;0
9;"WD2";"BGR";2012;6;1,073473
8;"WD2";"BGR";2012;6;0,73951
1;"GB2";"EXC";2012;6;10,98223
2;"GB2";"EXC";2012;6;11,38461
3;"GB2";"EXC";2012;6;16,43738
4;"GB2";"EXC";2012;6;15,11983
5;"GB2";"EXC";2012;6;7,822244
8;"GB2";"BGR";2012;6;6,460215
9;"GB2";"BGR";2012;6;10,04288
6;"GB2";"BGR";2012;6;13,96816
7;"GB2";"BGR";2012;6;4,136348
1;"WD1";"EXC";2012;6;13,07132
2;"WD1";"EXC";2012;6;1,116286
3;"WD1";"EXC";2012;6;2,345208
4;"WD1";"EXC";2012;6;5,267827
5;"WD1";"EXC";2012;6;6,082763
8;"WD1";"BGR";2012;6;7,296189
9;"WD1";"BGR";2012;6;10,39155
6;"WD1";"BGR";2012;6;1,536026
7;"WD1";"BGR";2012;6;5,291502
1;"GB1";"EXC";2012;6;4,15
2;"GB1";"EXC";2012;6;6,977643
3;"GB1";"EXC";2012;6;9,984363
4;"GB1";"EXC";2012;6;3,705992
5;"GB1";"EXC";2012;6;5,829612
8;"GB1";"BGR";2012;6;4,567206
7;"GB1";"BGR";2012;6;3,526684
6;"GB1";"BGR";2012;6;7,928391
9;"GB1";"BGR";2012;6;14,28231
1;"LV2";"EXC";2013;6;8,645808
1;"GB2";"EXC";2012;8;8,557709
2;"LV2";"EXC";2013;6;12,71748
2;"GB2";"EXC";2012;8;14,95775
3;"LV2";"EXC";2013;6;11,09547
3;"GB2";"EXC";2012;8;23,53687
4;"LV2";"EXC";2013;6;3,897114
4;"GB2";"EXC";2012;8;17,48526
5;"LV2";"EXC";2013;6;10,78121
5;"GB2";"EXC";2012;8;25,64664
8;"LV2";"BGR";2013;6;8,944272
6;"GB2";"BGR";2012;8;8,343224
6;"LV2";"BGR";2013;6;4,240799
7;"GB2";"BGR";2012;8;18,39455
7;"LV2";"BGR";2013;6;5,348773
8;"GB2";"BGR";2012;8;7,175261
9;"LV2";"BGR";2013;6;3,733296
9;"GB2";"BGR";2012;8;6,689544
1;"LV1";"EXC";2013;6;3,919104
1;"GB1";"EXC";2012;8;4,935522
2;"LV1";"EXC";2013;6;7,372881
2;"GB1";"EXC";2012;8;15,71176
3;"LV1";"EXC";2013;6;22,4722
3;"GB1";"EXC";2012;8;18,01215
4;"LV1";"EXC";2013;6;20,13043
4;"GB1";"EXC";2012;8;16,58642
5;"LV1";"EXC";2013;6;20,21757
5;"GB1";"EXC";2012;8;21,2647
6;"LV1";"BGR";2013;6;1,83286
6;"GB1";"BGR";2012;8;15,58796
7;"LV1";"BGR";2013;6;13,08386
7;"GB1";"BGR";2012;8;23,97264
8;"LV1";"BGR";2013;6;6,855655
8;"GB1";"BGR";2012;8;0
9;"LV1";"BGR";2013;6;4,414111
9;"GB1";"BGR";2012;8;17,12774
1;"WD2";"EXC";2013;6;3
2;"WD2";"EXC";2013;6;3,772847
1;"LV2";"EXC";2012;8;6,72565
3;"WD2";"EXC";2013;6;6,613197
2;"LV2";"EXC";2012;8;19,26744
4;"WD2";"EXC";2013;6;0,9921567
3;"LV2";"EXC";2012;8;25,1567
5;"WD2";"EXC";2013;6;5,634714
4;"LV2";"EXC";2012;8;22,08365
6;"WD2";"BGR";2013;6;0
5;"LV2";"EXC";2012;8;25,87923
7;"WD2";"BGR";2013;6;2,52178
9;"LV2";"BGR";2012;8;26,74766
8;"WD2";"BGR";2013;6;2,58602
8;"LV2";"BGR";2012;8;21,37756
9;"WD2";"BGR";2013;6;7,693341
7;"LV2";"BGR";2012;8;29,12232
1;"WD1";"EXC";2013;6;1,224745
6;"LV2";"BGR";2012;8;0,7806247
2;"WD1";"EXC";2013;6;21,65063
1;"LV1";"EXC";2012;8;7,034513
3;"WD1";"EXC";2013;6;6,873864
2;"LV1";"EXC";2012;8;5,158428
4;"WD1";"EXC";2013;6;12,30282
3;"LV1";"EXC";2012;8;0
5;"WD1";"EXC";2013;6;3,018174
4;"LV1";"EXC";2012;8;34,98214
6;"WD1";"BGR";2013;6;3,905125
5;"LV1";"EXC";2012;8;31,37674
7;"WD1";"BGR";2013;6;16,01562
6;"LV1";"BGR";2012;8;15,0743
8;"WD1";"BGR";2013;6;2,420614
7;"LV1";"BGR";2012;8;0
9;"WD1";"BGR";2013;6;5,677533
8;"LV1";"BGR";2012;8;31,74409
1;"GB1";"EXC";2013;6;12,31615
9;"LV1";"BGR";2012;8;1,165922
2;"GB1";"EXC";2013;6;11,75532
1;"WD1";"EXC";2012;8;1,363589
3;"GB1";"EXC";2013;6;1,57619
2;"WD1";"EXC";2012;8;8,07678
4;"GB1";"EXC";2013;6;7,949057
3;"WD1";"EXC";2012;8;34,1959
5;"GB1";"EXC";2013;6;8,23768
4;"WD1";"EXC";2012;8;13,5963
6;"GB1";"BGR";2013;6;6,243747
5;"WD1";"EXC";2012;8;11,99935
7;"GB1";"BGR";2013;6;4,580871
6;"WD1";"BGR";2012;8;19,5604
8;"GB1";"BGR";2013;6;4,582576
7;"WD1";"BGR";2012;8;16,34587
9;"GB1";"BGR";2013;6;8,936407
8;"WD1";"BGR";2012;8;22,19657
1;"GB2";"EXC";2013;6;9,692136
9;"WD1";"BGR";2012;8;1,452369
2;"GB2";"EXC";2013;6;9,339934
1;"WD2";"EXC";2012;8;2,633914
3;"GB2";"EXC";2013;6;8,902246
2;"WD2";"EXC";2012;8;2,645751
4;"GB2";"EXC";2013;6;8,046739
3;"WD2";"EXC";2012;8;0
5;"GB2";"EXC";2013;6;8,466847
4;"WD2";"EXC";2012;8;1,391941
6;"GB2";"BGR";2013;6;4,330127
5;"WD2";"EXC";2012;8;0
7;"GB2";"BGR";2013;6;12,42414
6;"WD2";"BGR";2012;8;1,536026
8;"GB2";"BGR";2013;6;0
7;"WD2";"BGR";2012;8;1,111024
9;"GB2";"BGR";2013;6;8,642193
8;"WD2";"BGR";2012;8;1,494783
9;"WD2";"BGR";2012;8;13,27356
1;"LV2";"EXC";2013;7;3,854786
2;"LV2";"EXC";2013;7;10,21947
1;"GB1";"EXC";2012;7;5,291502
3;"LV2";"EXC";2013;7;15,75149
2;"GB1";"EXC";2012;7;20,39455
4;"LV2";"EXC";2013;7;10,16043
3;"GB1";"EXC";2012;7;28,55231
