"zone";"exc_id";"beh_typ";"y";"m";"h_gem"
3;"LV2";"EXC";2012;6;NA
6;"LV2";"BGR";2012;6;NA
7;"LV2";"BGR";2012;6;NA
8;"LV2";"BGR";2012;6;NA
9;"LV2";"BGR";2012;6;NA
1;"LV1";"EXC";2012;6;NA
2;"LV1";"EXC";2012;6;NA
3;"LV1";"EXC";2012;6;NA
4;"LV1";"EXC";2012;6;NA
5;"LV1";"EXC";2012;6;NA
6;"LV1";"BGR";2012;6;NA
7;"LV1";"BGR";2012;6;NA
8;"LV1";"BGR";2012;6;NA
9;"LV1";"BGR";2012;6;NA
1;"WD2";"EXC";2012;6;NA
4;"WD2";"EXC";2012;6;NA
5;"WD2";"EXC";2012;6;NA
2;"WD2";"EXC";2012;6;NA
3;"WD2";"EXC";2012;6;NA
7;"WD2";"BGR";2012;6;NA
6;"WD2";"BGR";2012;6;NA
9;"WD2";"BGR";2012;6;NA
8;"WD2";"BGR";2012;6;NA
1;"GB2";"EXC";2012;6;NA
2;"GB2";"EXC";2012;6;NA
3;"GB2";"EXC";2012;6;NA
4;"GB2";"EXC";2012;6;NA
5;"GB2";"EXC";2012;6;NA
8;"GB2";"BGR";2012;6;NA
9;"GB2";"BGR";2012;6;NA
6;"GB2";"BGR";2012;6;NA
7;"GB2";"BGR";2012;6;NA
1;"WD1";"EXC";2012;6;NA
2;"WD1";"EXC";2012;6;NA
3;"WD1";"EXC";2012;6;NA
4;"WD1";"EXC";2012;6;NA
5;"WD1";"EXC";2012;6;NA
8;"WD1";"BGR";2012;6;NA
9;"WD1";"BGR";2012;6;NA
6;"WD1";"BGR";2012;6;NA
7;"WD1";"BGR";2012;6;NA
1;"GB1";"EXC";2012;6;NA
2;"GB1";"EXC";2012;6;NA
3;"GB1";"EXC";2012;6;NA
4;"GB1";"EXC";2012;6;NA
5;"GB1";"EXC";2012;6;NA
8;"GB1";"BGR";2012;6;NA
7;"GB1";"BGR";2012;6;NA
6;"GB1";"BGR";2012;6;NA
9;"GB1";"BGR";2012;6;NA
1;"LV2";"EXC";2013;6;NA
1;"GB2";"EXC";2012;8;NA
2;"LV2";"EXC";2013;6;NA
2;"GB2";"EXC";2012;8;NA
3;"LV2";"EXC";2013;6;NA
3;"GB2";"EXC";2012;8;NA
4;"LV2";"EXC";2013;6;NA
4;"GB2";"EXC";2012;8;NA
5;"LV2";"EXC";2013;6;NA
5;"GB2";"EXC";2012;8;NA
8;"LV2";"BGR";2013;6;NA
6;"GB2";"BGR";2012;8;NA
6;"LV2";"BGR";2013;6;NA
7;"GB2";"BGR";2012;8;NA
7;"LV2";"BGR";2013;6;NA
8;"GB2";"BGR";2012;8;NA
9;"LV2";"BGR";2013;6;NA
9;"GB2";"BGR";2012;8;NA
1;"LV1";"EXC";2013;6;NA
1;"GB1";"EXC";2012;8;NA
2;"LV1";"EXC";2013;6;NA
2;"GB1";"EXC";2012;8;NA
3;"LV1";"EXC";2013;6;NA
3;"GB1";"EXC";2012;8;NA
4;"LV1";"EXC";2013;6;NA
4;"GB1";"EXC";2012;8;NA
5;"LV1";"EXC";2013;6;NA
5;"GB1";"EXC";2012;8;NA
6;"LV1";"BGR";2013;6;NA
6;"GB1";"BGR";2012;8;NA
7;"LV1";"BGR";2013;6;NA
7;"GB1";"BGR";2012;8;NA
8;"LV1";"BGR";2013;6;NA
8;"GB1";"BGR";2012;8;NA
9;"LV1";"BGR";2013;6;NA
9;"GB1";"BGR";2012;8;NA
1;"WD2";"EXC";2013;6;NA
2;"WD2";"EXC";2013;6;NA
1;"LV2";"EXC";2012;8;NA
3;"WD2";"EXC";2013;6;NA
2;"LV2";"EXC";2012;8;NA
4;"WD2";"EXC";2013;6;NA
3;"LV2";"EXC";2012;8;NA
5;"WD2";"EXC";2013;6;NA
4;"LV2";"EXC";2012;8;NA
6;"WD2";"BGR";2013;6;NA
5;"LV2";"EXC";2012;8;NA
7;"WD2";"BGR";2013;6;NA
9;"LV2";"BGR";2012;8;NA
8;"WD2";"BGR";2013;6;NA
8;"LV2";"BGR";2012;8;NA
9;"WD2";"BGR";2013;6;NA
7;"LV2";"BGR";2012;8;NA
1;"WD1";"EXC";2013;6;NA
6;"LV2";"BGR";2012;8;NA
2;"WD1";"EXC";2013;6;NA
1;"LV1";"EXC";2012;8;NA
3;"WD1";"EXC";2013;6;NA
2;"LV1";"EXC";2012;8;NA
4;"WD1";"EXC";2013;6;NA
3;"LV1";"EXC";2012;8;NA
5;"WD1";"EXC";2013;6;NA
4;"LV1";"EXC";2012;8;NA
6;"WD1";"BGR";2013;6;NA
5;"LV1";"EXC";2012;8;NA
7;"WD1";"BGR";2013;6;NA
6;"LV1";"BGR";2012;8;NA
8;"WD1";"BGR";2013;6;NA
7;"LV1";"BGR";2012;8;NA
9;"WD1";"BGR";2013;6;NA
8;"LV1";"BGR";2012;8;NA
1;"GB1";"EXC";2013;6;NA
9;"LV1";"BGR";2012;8;NA
2;"GB1";"EXC";2013;6;NA
1;"WD1";"EXC";2012;8;NA
3;"GB1";"EXC";2013;6;NA
2;"WD1";"EXC";2012;8;NA
4;"GB1";"EXC";2013;6;NA
3;"WD1";"EXC";2012;8;NA
5;"GB1";"EXC";2013;6;NA
4;"WD1";"EXC";2012;8;NA
6;"GB1";"BGR";2013;6;NA
5;"WD1";"EXC";2012;8;NA
7;"GB1";"BGR";2013;6;NA
6;"WD1";"BGR";2012;8;NA
8;"GB1";"BGR";2013;6;NA
7;"WD1";"BGR";2012;8;NA
9;"GB1";"BGR";2013;6;NA
8;"WD1";"BGR";2012;8;NA
1;"GB2";"EXC";2013;6;NA
9;"WD1";"BGR";2012;8;NA
2;"GB2";"EXC";2013;6;NA
1;"WD2";"EXC";2012;8;NA
3;"GB2";"EXC";2013;6;NA
2;"WD2";"EXC";2012;8;NA
4;"GB2";"EXC";2013;6;NA
3;"WD2";"EXC";2012;8;NA
5;"GB2";"EXC";2013;6;NA
4;"WD2";"EXC";2012;8;NA
6;"GB2";"BGR";2013;6;NA
5;"WD2";"EXC";2012;8;NA
7;"GB2";"BGR";2013;6;NA
6;"WD2";"BGR";2012;8;NA
8;"GB2";"BGR";2013;6;NA
7;"WD2";"BGR";2012;8;NA
9;"GB2";"BGR";2013;6;NA
8;"WD2";"BGR";2012;8;NA
9;"WD2";"BGR";2012;8;NA
1;"LV2";"EXC";2013;7;NA
2;"LV2";"EXC";2013;7;NA
1;"GB1";"EXC";2012;7;NA
3;"LV2";"EXC";2013;7;NA
2;"GB1";"EXC";2012;7;NA
4;"LV2";"EXC";2013;7;NA
3;"GB1";"EXC";2012;7;NA
5;"LV2";"EXC";2013;7;NA
4;"GB1";"EXC";2012;7;NA
9;"LV2";"BGR";2013;7;NA
5;"GB1";"EXC";2012;7;NA
8;"LV2";"BGR";2013;7;NA
6;"GB1";"BGR";2012;7;NA
7;"LV2";"BGR";2013;7;NA
7;"GB1";"BGR";2012;7;NA
6;"LV2";"BGR";2013;7;NA
8;"GB1";"BGR";2012;7;NA
1;"LV1";"EXC";2013;7;NA
9;"GB1";"BGR";2012;7;NA
2;"LV1";"EXC";2013;7;NA
1;"GB2";"EXC";2012;7;NA
3;"LV1";"EXC";2013;7;NA
2;"GB2";"EXC";2012;7;NA
4;"LV1";"EXC";2013;7;NA
3;"GB2";"EXC";2012;7;NA
5;"LV1";"EXC";2013;7;NA
4;"GB2";"EXC";2012;7;NA
6;"LV1";"BGR";2013;7;NA
5;"GB2";"EXC";2012;7;NA
7;"LV1";"BGR";2013;7;NA
6;"GB2";"BGR";2012;7;NA
8;"LV1";"BGR";2013;7;NA
7;"GB2";"BGR";2012;7;NA
9;"LV1";"BGR";2013;7;NA
8;"GB2";"BGR";2012;7;NA
1;"WD2";"EXC";2013;7;NA
9;"GB2";"BGR";2012;7;NA
2;"WD2";"EXC";2013;7;NA
3;"WD2";"EXC";2013;7;NA
1;"LV2";"EXC";2012;7;NA
4;"WD2";"EXC";2013;7;NA
2;"LV2";"EXC";2012;7;NA
5;"WD2";"EXC";2013;7;NA
3;"LV2";"EXC";2012;7;NA
6;"WD2";"BGR";2013;7;NA
4;"LV2";"EXC";2012;7;NA
7;"WD2";"BGR";2013;7;NA
5;"LV2";"EXC";2012;7;NA
8;"WD2";"BGR";2013;7;NA
6;"LV2";"BGR";2012;7;NA
9;"WD2";"BGR";2013;7;NA
7;"LV2";"BGR";2012;7;NA
1;"GB2";"EXC";2013;7;NA
8;"LV2";"BGR";2012;7;NA
2;"GB2";"EXC";2013;7;NA
9;"LV2";"BGR";2012;7;NA
3;"GB2";"EXC";2013;7;NA
1;"LV1";"EXC";2012;7;NA
4;"GB2";"EXC";2013;7;NA
2;"LV1";"EXC";2012;7;NA
5;"GB2";"EXC";2013;7;NA
3;"LV1";"EXC";2012;7;NA
6;"GB2";"BGR";2013;7;NA
4;"LV1";"EXC";2012;7;NA
7;"GB2";"BGR";2013;7;NA
5;"LV1";"EXC";2012;7;NA
8;"GB2";"BGR";2013;7;NA
6;"LV1";"BGR";2012;7;NA
9;"GB2";"BGR";2013;7;NA
7;"LV1";"BGR";2012;7;NA
1;"GB1";"EXC";2013;7;NA
8;"LV1";"BGR";2012;7;NA
2;"GB1";"EXC";2013;7;NA
9;"LV1";"BGR";2012;7;NA
1;"GB1";"EXC";2012;9;NA
3;"GB1";"EXC";2013;7;NA
2;"GB1";"EXC";2012;9;NA
4;"GB1";"EXC";2013;7;NA
3;"GB1";"EXC";2012;9;NA
6;"GB1";"BGR";2013;7;NA
4;"GB1";"EXC";2012;9;NA
5;"GB1";"EXC";2012;9;NA
7;"GB1";"BGR";2013;7;NA
6;"GB1";"BGR";2012;9;NA
8;"GB1";"BGR";2013;7;NA
7;"GB1";"BGR";2012;9;NA
9;"GB1";"BGR";2013;7;NA
8;"GB1";"BGR";2012;9;NA
1;"WD1";"EXC";2013;7;NA
9;"GB1";"BGR";2012;9;NA
3;"WD1";"EXC";2013;7;NA
1;"GB2";"EXC";2012;9;NA
4;"WD1";"EXC";2013;7;NA
2;"GB2";"EXC";2012;9;NA
5;"WD1";"EXC";2013;7;NA
3;"GB2";"EXC";2012;9;NA
6;"WD1";"BGR";2013;7;NA
4;"GB2";"EXC";2012;9;NA
7;"WD1";"BGR";2013;7;NA
5;"GB2";"EXC";2012;9;NA
8;"WD1";"BGR";2013;7;NA
6;"GB2";"BGR";2012;9;NA
9;"WD1";"BGR";2013;7;NA
7;"GB2";"BGR";2012;9;NA
1;"LV2";"EXC";2013;8;NA
8;"GB2";"BGR";2012;9;NA
2;"LV2";"EXC";2013;8;NA
9;"GB2";"BGR";2012;9;NA
3;"LV2";"EXC";2013;8;NA
1;"WD1";"EXC";2012;9;NA
4;"LV2";"EXC";2013;8;NA
2;"WD1";"EXC";2012;9;NA
5;"LV2";"EXC";2013;8;NA
3;"WD1";"EXC";2012;9;NA
6;"LV2";"BGR";2013;8;NA
4;"WD1";"EXC";2012;9;NA
7;"LV2";"BGR";2013;8;NA
5;"WD1";"EXC";2012;9;NA
8;"LV2";"BGR";2013;8;NA
6;"WD1";"BGR";2012;9;NA
9;"LV2";"BGR";2013;8;NA
7;"WD1";"BGR";2012;9;NA
1;"LV1";"EXC";2013;8;NA
8;"WD1";"BGR";2012;9;NA
3;"LV1";"EXC";2013;8;NA
9;"WD1";"BGR";2012;9;NA
4;"LV1";"EXC";2013;8;NA
1;"LV1";"EXC";2012;9;NA
5;"LV1";"EXC";2013;8;NA
2;"LV1";"EXC";2012;9;NA
6;"LV1";"BGR";2013;8;NA
3;"LV1";"EXC";2012;9;NA
7;"LV1";"BGR";2013;8;NA
4;"LV1";"EXC";2012;9;NA
8;"LV1";"BGR";2013;8;NA
5;"LV1";"EXC";2012;9;NA
9;"LV1";"BGR";2013;8;NA
1;"WD2";"EXC";2013;8;NA
9;"LV1";"BGR";2012;9;NA
2;"WD2";"EXC";2013;8;NA
8;"LV1";"BGR";2012;9;NA
3;"WD2";"EXC";2013;8;NA
7;"LV1";"BGR";2012;9;NA
4;"WD2";"EXC";2013;8;NA
6;"LV1";"BGR";2012;9;NA
5;"WD2";"EXC";2013;8;NA
1;"LV2";"EXC";2012;9;NA
6;"WD2";"BGR";2013;8;NA
4;"LV2";"EXC";2012;9;NA
7;"WD2";"BGR";2013;8;NA
5;"LV2";"EXC";2012;9;NA
8;"WD2";"BGR";2013;8;NA
2;"LV2";"EXC";2012;9;NA
9;"WD2";"BGR";2013;8;NA
3;"LV2";"EXC";2012;9;NA
1;"GB2";"EXC";2013;8;NA
7;"LV2";"BGR";2012;9;NA
2;"GB2";"EXC";2013;8;NA
8;"LV2";"BGR";2012;9;NA
3;"GB2";"EXC";2013;8;NA
9;"LV2";"BGR";2012;9;NA
4;"GB2";"EXC";2013;8;NA
6;"LV2";"BGR";2012;9;NA
5;"GB2";"EXC";2013;8;NA
1;"WD2";"EXC";2012;9;NA
6;"GB2";"BGR";2013;8;NA
4;"WD2";"EXC";2012;9;NA
7;"GB2";"BGR";2013;8;NA
5;"WD2";"EXC";2012;9;NA
8;"GB2";"BGR";2013;8;NA
2;"WD2";"EXC";2012;9;NA
9;"GB2";"BGR";2013;8;NA
3;"WD2";"EXC";2012;9;NA
1;"WD1";"EXC";2013;8;NA
9;"WD2";"BGR";2012;9;NA
2;"WD1";"EXC";2013;8;NA
6;"WD2";"BGR";2012;9;NA
3;"WD1";"EXC";2013;8;NA
7;"WD2";"BGR";2012;9;NA
4;"WD1";"EXC";2013;8;NA
8;"WD2";"BGR";2012;9;NA
1;"WD1";"EXC";2012;7;NA
5;"WD1";"EXC";2013;8;NA
2;"WD1";"EXC";2012;7;NA
6;"WD1";"BGR";2013;8;NA
3;"WD1";"EXC";2012;7;NA
7;"WD1";"BGR";2013;8;NA
4;"WD1";"EXC";2012;7;NA
8;"WD1";"BGR";2013;8;NA
5;"WD1";"EXC";2012;7;NA
9;"WD1";"BGR";2013;8;NA
1;"GB1";"EXC";2013;8;NA
2;"GB1";"EXC";2013;8;NA
8;"WD1";"BGR";2012;7;NA
3;"GB1";"EXC";2013;8;NA
9;"WD1";"BGR";2012;7;NA
4;"GB1";"EXC";2013;8;NA
6;"WD1";"BGR";2012;7;NA
5;"GB1";"EXC";2013;8;NA
7;"WD1";"BGR";2012;7;NA
6;"GB1";"BGR";2013;8;NA
1;"WD2";"EXC";2012;7;NA
7;"GB1";"BGR";2013;8;NA
2;"WD2";"EXC";2012;7;NA
8;"GB1";"BGR";2013;8;NA
3;"WD2";"EXC";2012;7;NA
9;"GB1";"BGR";2013;8;NA
4;"WD2";"EXC";2012;7;NA
5;"WD2";"EXC";2012;7;NA
1;"LV2";"EXC";2013;9;NA
6;"WD2";"BGR";2012;7;NA
2;"LV2";"EXC";2013;9;NA
7;"WD2";"BGR";2012;7;NA
3;"LV2";"EXC";2013;9;NA
8;"WD2";"BGR";2012;7;NA
4;"LV2";"EXC";2013;9;NA
9;"WD2";"BGR";2012;7;NA
5;"LV2";"EXC";2013;9;NA
6;"LV2";"BGR";2013;9;NA
7;"LV2";"BGR";2013;9;NA
8;"LV2";"BGR";2013;9;NA
9;"LV2";"BGR";2013;9;NA
1;"LV1";"EXC";2013;9;NA
4;"LV1";"EXC";2013;9;NA
5;"LV1";"EXC";2013;9;NA
2;"LV1";"EXC";2013;9;NA
3;"LV1";"EXC";2013;9;NA
6;"LV1";"BGR";2013;9;NA
7;"LV1";"BGR";2013;9;NA
8;"LV1";"BGR";2013;9;NA
9;"LV1";"BGR";2013;9;NA
1;"WD2";"EXC";2013;9;NA
2;"WD2";"EXC";2013;9;NA
3;"WD2";"EXC";2013;9;NA
4;"WD2";"EXC";2013;9;NA
5;"WD2";"EXC";2013;9;NA
6;"WD2";"BGR";2013;9;NA
7;"WD2";"BGR";2013;9;NA
8;"WD2";"BGR";2013;9;NA
9;"WD2";"BGR";2013;9;NA
1;"WD1";"EXC";2013;9;NA
2;"WD1";"EXC";2013;9;NA
3;"WD1";"EXC";2013;9;NA
4;"WD1";"EXC";2013;9;NA
5;"WD1";"EXC";2013;9;NA
6;"WD1";"BGR";2013;9;NA
