"datum";"y";"m";"exc_id";"zone";"veg_aanw";"beh_typ";"brand2011";"h_gem";"sdev"
"8/08/2011";2011;8;"GB2";"Excl, Centrum";"ja";"EXC";"nee";50;20,4267
"8/08/2011";2011;8;"GB2";"Begraasd, A";"ja";"BGR";"nee";40;16,62641
"8/08/2011";2011;8;"GB2";"Begraasd, B";"ja";"BGR";"nee";21;11,55151
"8/08/2011";2011;8;"GB2";"Begraasd, C";"ja";"BGR";"nee";59;16,99219
"8/08/2011";2011;8;"GB2";"Begraasd, D";"ja";"BGR";"nee";31;18,11034
"8/08/2011";2011;8;"WD1";"Excl, zone A";"ja";"EXC";"nee";0;0
"8/08/2011";2011;8;"WD1";"Excl, zone B";"ja";"EXC";"nee";2;3,333073
"8/08/2011";2011;8;"WD1";"Excl, zone C";"ja";"EXC";"nee";29;22,29034
"8/08/2011";2011;8;"WD1";"Excl, zone D";"ja";"EXC";"nee";49;20,34545
"8/08/2011";2011;8;"WD1";"Excl, Centrum";"ja";"EXC";"nee";0;0
"8/08/2011";2011;8;"WD1";"Begraasd, A";"ja";"BGR";"nee";8;14,28668
"8/08/2011";2011;8;"WD1";"Begraasd, B";"ja";"BGR";"nee";9;6,5
"8/08/2011";2011;8;"WD1";"Begraasd, C";"ja";"BGR";"nee";6;5,764926
"8/08/2011";2011;8;"WD1";"Begraasd, D";"ja";"BGR";"nee";6;9,423209
"8/08/2011";2011;8;"WD2";"Excl, zone A";"ja";"EXC";"nee";10;7,061117
"8/08/2011";2011;8;"WD2";"Excl, zone B";"ja";"EXC";"nee";10;13,93007
"8/08/2011";2011;8;"WD2";"Excl, zone C";"ja";"EXC";"nee";0;0,8267973
"8/08/2011";2011;8;"WD2";"Excl, zone D";"ja";"EXC";"nee";8;9,717896
"8/08/2011";2011;8;"WD2";"Excl, Centrum";"ja";"EXC";"nee";0;0
"8/08/2011";2011;8;"WD2";"Begraasd, A";"ja";"BGR";"nee";0;0
"8/08/2011";2011;8;"WD2";"Begraasd, B";"ja";"BGR";"nee";10;9,041571
"8/08/2011";2011;8;"WD2";"Begraasd, C";"ja";"BGR";"nee";0;0
"8/08/2011";2011;8;"WD2";"Begraasd, D";"nee";"BGR";"nee";0;0
"9/08/2011";2011;8;"LV1";"Excl, zone A";"ja";"EXC";"nee";37;25,7779
"9/08/2011";2011;8;"LV1";"Excl, zone B";"nee";"EXC";"nee";35;26,27261
"9/08/2011";2011;8;"LV1";"Excl, zone C";"ja";"EXC";"nee";2;4,175823
"9/08/2011";2011;8;"LV1";"Excl, zone D";"nee";"EXC";"nee";0;0
