ID_Exclosure_opname;Datum;jaar;maand;ID_Exclosure;ID_Exclosure_zone;Deelgebied;Vegetatie aanwezig;Begraasd/Niet Begr;Afgebrand 2011;Opmerking;Afstand_m;Hoek_gr;Bedekking mos;Bedekking kale bodem;strooisel ingezameld;bodemstalen ingezameld;H1_cm;H2_cm;H3_cm;H4_cm;H5_cm;H6_cm;H7_cm;H8_cm;H_gemd;Sdev
33;28/06/2011;2011;7;4;Begraasd, A;WD;WAAR;B;ONWAAR;;14;340;;100;ONWAAR;WAAR;5;3;56;0;0;0;0;0;8;18,22773
34;28/06/2011;2011;7;4;Begraasd, C;WD;WAAR;B;ONWAAR;zone was niet ingevuld, B onder voorbehoud;12;170;nvt;90-100;ONWAAR;WAAR;9;16;16;12;7;6;18;6;11;4,602988
35;28/06/2011;2011;7;4;Begraasd, B;WD;WAAR;B;ONWAAR;;7,5;60;nvt;90-100;ONWAAR;WAAR;8;7;7;14;8;8,5;6;7;8;2,317562
36;28/06/2011;2011;7;4;Begraasd, D;WD;WAAR;B;ONWAAR;;10;300;nvt;80-90;ONWAAR;WAAR;6,5;12;9,5;11,5;5,5;7;12;13;10;2,735759
37;28/06/2011;2011;7;5;Excl, Centrum;LV;WAAR;NB;ONWAAR;;0;0;;90-100;ONWAAR;ONWAAR;18;12;11;12;12;14;16;18;14;2,666341
38;28/06/2011;2011;7;5;Excl, zone A;LV;WAAR;NB;ONWAAR;;0;0;;80-90;ONWAAR;WAAR;13;24;22;22;16;13;19;8;17;5,206666
39;28/06/2011;2011;7;5;Excl, zone B;LV;WAAR;NB;ONWAAR;;0;0;nvt;90-100;ONWAAR;WAAR;18;21;12;15;14;11;15,5;19,5;16;3,297726
40;28/06/2011;2011;7;5;Excl, zone C;LV;ONWAAR;NB;WAAR;volledig kaal, verbrand;0;0;nvt;100;ONWAAR;WAAR;0;0;0;0;0;0;0;0;0;0
41;28/06/2011;2011;7;5;Excl, zone D;LV;ONWAAR;NB;ONWAAR;;0;0;nvt;100;ONWAAR;WAAR;0;0;0;0;0;0;0;0;0;0
42;28/06/2011;2011;7;5;Begraasd, A;LV;WAAR;B;ONWAAR;;18;40;nvt;80-90;ONWAAR;WAAR;18;17;21;15;18;7;7;13;14;4,84768
43;28/06/2011;2011;7;5;Begraasd, B;LV;WAAR;B;ONWAAR;;17;90;;80-90;ONWAAR;WAAR;22;10,5;8;18;35,5;21,5;13,5;8,5;17;8,631112
44;28/06/2011;2011;7;5;Begraasd, C;LV;WAAR;B;ONWAAR;;10;180;nvt;90-100;ONWAAR;WAAR;7;17;23;24;11;11;6;12;14;6,372549
45;28/06/2011;2011;7;5;Begraasd, D;LV;ONWAAR;B;WAAR;volledig kaal, verbrand;9;260;nvt;100;ONWAAR;WAAR;0;0;0;0;0;0;0;0;0;0
46;28/06/2011;2011;7;6;Excl, Centrum;LV;WAAR;NB;ONWAAR;;0;0;;70-80;ONWAAR;ONWAAR;20;13;19;14;22;16;15;2;15;5,754075
47;28/06/2011;2011;7;6;Excl, zone A;LV;WAAR;NB;ONWAAR;;0;0;nvt;80-90;ONWAAR;WAAR;8,5;14;16;8,5;14;13;9,5;9;12;2,811111
48;28/06/2011;2011;7;6;Excl, zone B;LV;WAAR;NB;ONWAAR;;0;0;nvt;60-70;ONWAAR;WAAR;11;24,5;28,5;15;14,5;15;15,5;27;19;6,253749
49;28/06/2011;2011;7;6;Excl, zone C;LV;WAAR;NB;ONWAAR;;0;0;nvt;60-70;ONWAAR;WAAR;10;10;20;22;13;17;13;12;15;4,240799
50;28/06/2011;2011;7;6;Excl, zone D;LV;WAAR;NB;ONWAAR;;0;0;;90-100;ONWAAR;WAAR;15;9;10;8;8;6;7;6;9;2,735759
51;28/06/2011;2011;7;6;Begraasd, A;LV;WAAR;B;ONWAAR;;18,4;350;;80-90;ONWAAR;WAAR;9;15,5;11,5;18;17;14;18;10;14;3,361082
