"";"EXC_ID";"BEH_TYP";"M";"Y";"VEG_TYP";"ADF";"LIG";"DS_105";"N_DS";"NDF";"RE_NIR";"RE_NATCHEM";"VOCHT_105";"HEMCEL";"CEL";"prt_DS";"yearlocation";"monthlocation";"obs_M_Y";"datelocation";"EXC_ID_BEH_TYP"
"202";"GB2";"BGR";"jul";"2012";"P";34,36;6,02;NA;NA;63,07;11,79;NA;NA;28,71;28,34;NA;"GB2 2012";"GB2 jul";"jul 2012";"GB2 jul 2012";"GB2 BGR"
"203";"GB2";"BGR";"jul";"2012";"S";42,22;9,64;NA;NA;70,15;9,34;NA;NA;27,93;32,58;NA;"GB2 2012";"GB2 jul";"jul 2012";"GB2 jul 2012";"GB2 BGR"
"204";"GB2";"EXC";"jul";"2012";"F";38,54;6,46;NA;NA;66,19;6,62;NA;NA;27,65;32,08;NA;"GB2 2012";"GB2 jul";"jul 2012";"GB2 jul 2012";"GB2 EXC"
"205";"GB2";"EXC";"jul";"2012";"P";33,18;5,47;NA;NA;61,09;11,85;NA;NA;27,91;27,71;NA;"GB2 2012";"GB2 jul";"jul 2012";"GB2 jul 2012";"GB2 EXC"
"206";"GB2";"EXC";"jul";"2012";"S";36,35;7,56;NA;NA;63,52;8,37;NA;NA;27,17;28,79;NA;"GB2 2012";"GB2 jul";"jul 2012";"GB2 jul 2012";"GB2 EXC"
"207";"LV1";"BGR";"jul";"2012";"F";NA;NA;NA;NA;NA;7,95;NA;NA;NA;NA;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 BGR"
"208";"LV1";"BGR";"jul";"2012";"H";NA;NA;NA;NA;NA;6,88;NA;NA;NA;NA;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 BGR"
"209";"LV1";"BGR";"jul";"2012";"P";40,57;6,07;NA;NA;69,78;6,5;NA;NA;29,21;34,5;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 BGR"
"210";"LV1";"BGR";"jul";"2012";"S";42,17;6,61;NA;NA;67,89;5,21;NA;NA;25,72;35,56;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 BGR"
"211";"LV1";"EXC";"jul";"2012";"F";NA;NA;NA;NA;NA;17,13;NA;NA;NA;NA;NA;"LV1 2012";"LV1 jul";"jul 2012";"LV1 jul 2012";"LV1 EXC"
