ID;EXC_ID;BEH_TYP;M;Y;VEG_TYP;ADF;ADL;DS_105;N_DS;NDF;RE;RE_DS;VOCHT_105
111;LV2;BGR;sep;2011;P;39,53;6,85;905,92;14,02;67,61;7,97;8,75;94,08
112;LV2;BGR;aug;2013;S;43,17;10,06;913,80;8,98;69,22;4,22;5,63;86,20
113;LV2;BGR;jul;2013;S;45,20;8,62;915,43;6,05;73,33;3,17;3,75;84,57
114;LV2;BGR;jun;2013;S;47,54;9,26;916,83;6,60;73,94;3,01;4,13;83,17
115;LV2;BGR;sep;2013;S;40,51;9,58;906,02;12,42;67,75;6,05;7,75;93,98
116;LV2;EXC;aug;2011;P;35,91;6,62;912,40;14,83;63,98;11,21;9,25;87,60
117;LV2;EXC;aug;2013;H;44,73;22,06;907,43;8,86;56,86;5,49;5,56;92,57
118;LV2;EXC;jul;2013;H;39,69;19,32;903,98;9,78;52,78;4,97;6,13;96,02
119;LV2;EXC;jun;2013;H;31,25;18,66;901,94;12,13;42,66;7,88;7,56;98,06
120;LV2;EXC;sep;2013;H;35,13;18,10;906,59;10,65;47,48;6,26;6,63;93,41
121;LV2;EXC;jun;2011;P;59,89;13,76;1809,27;75,83;113,44;42,42;47,38;190,73
122;LV2;EXC;aug;2013;P;43,40;6,39;915,99;8,73;72,35;4,51;5,44;84,01
123;LV2;EXC;jul;2013;P;38,79;5,79;914,76;10,69;67,47;5,85;6,69;85,24
124;LV2;EXC;jun;2013;P;45,08;6,86;914,42;11,34;73,37;6,64;7,06;85,58
125;LV2;EXC;sep;2013;P;40,54;6,77;914,61;9,71;67,77;5,14;6,06;85,39
126;LV2;EXC;sep;2011;H;;;;;;;;
127;LV2;EXC;sep;2011;P;40,08;6,51;907,91;13,40;69,16;7,94;8,38;92,09
128;LV2;EXC;aug;2013;S;44,65;9,01;915,23;8,25;70,77;3,47;5,13;84,77
129;LV2;EXC;jul;2013;S;41,64;8,15;913,22;7,27;69,24;4,18;4,56;86,78
130;LV2;EXC;jun;2013;S;45,55;8,38;913,48;6,63;73,52;3,30;4,13;86,52
131;LV2;EXC;sep;2013;S;40,45;8,95;911,62;9,66;66,01;4,83;6,06;88,38
132;WD1;EXC;aug;2013;A;33,57;16,67;907,08;;46,60;7,84;;92,92
133;WD1;BGR;jun;2013;A;32,32;8,58;903,55;8,01;57,84;6,50;5,00;96,45
134;WD1;BGR;aug;2011;P;34,26;6,13;908,29;21,29;63,03;15,56;13,31;91,71
135;WD1;BGR;jun;2013;H;;;;;;;;
136;WD1;BGR;jun;2011;P;31,39;5,98;903,49;33,17;58,34;18,87;20,75;96,51
137;WD1;BGR;aug;2013;P;41,68;5,34;915,08;10,71;71,10;5,61;6,69;84,92
138;WD1;BGR;jul;2013;P;42,79;6,77;917,82;9,06;72,03;5,13;5,69;82,18
139;WD1;BGR;jun;2013;P;39,07;6,32;900,04;17,62;68,07;9,78;11,00;99,96
140;WD1;BGR;sep;2013;P;39,92;6,52;910,94;8,49;68,99;4,72;5,31;89,06
141;WD1;BGR;sep;2011;P;37,74;6,48;906,78;16,88;66,11;10,28;10,56;93,22
142;WD1;BGR;aug;2013;S;44,03;8,32;913,18;7,22;69,56;3,27;4,50;86,82
143;WD1;BGR;jul;2013;S;43,57;9,99;910,06;9,34;70,91;5,21;5,81;89,94
144;WD1;BGR;jun;2013;S;43,54;8,74;911,77;7,23;67,87;3,07;4,50;88,23
145;WD1;BGR;sep;2013;S;42,10;10,19;906,25;7,36;69,27;4,93;4,63;93,75
146;WD1;EXC;jul;2013;A;27,84;11,89;903,11;11,74;47,39;9,52;7,31;96,89
147;WD1;EXC;jun;2013;A;23,54;13,85;894,87;15,48;38,37;10,96;9,69;105,13
148;WD1;EXC;sep;2013;A;26,43;14,45;902,27;16,76;39,81;10,79;10,50;97,73
149;WD1;EXC;aug;2011;P;34,44;5,87;909,36;22,87;62,80;13,42;14,31;90,64
150;WD1;EXC;aug;2013;H;35,97;19,86;909,39;10,74;47,16;5,96;6,69;90,61
151;WD1;EXC;jul;2013;H;44,57;24,04;906,38;9,69;54,70;6,05;6,06;93,62
152;WD1;EXC;jun;2013;H;31,28;17,58;899,33;13,94;42,90;6,76;8,69;100,67
153;WD1;EXC;sep;2013;H;35,41;18,03;904,87;12,78;48,24;6,84;8,00;95,13
154;WD1;EXC;jun;2011;P;31,73;5,49;899,68;41,19;59,18;22,58;25,75;100,32
155;WD1;EXC;aug;2013;P;37,16;5,40;910,28;13,84;66,13;8,07;8,63;89,72
156;WD1;EXC;jul;2013;P;48,55;7,14;917,02;6,20;77,59;3,33;3,88;82,98
157;WD1;EXC;jun;2013;P;40,96;7,51;905,47;15,02;69,44;8,64;9,38;94,53
158;WD1;EXC;sep;2013;P;41,89;7,07;913,59;8,42;70,91;5,96;5,25;86,41
159;WD1;EXC;sep;2011;P;40,95;6,48;907,12;12,10;70,18;7,36;7,56;92,88
160;WD1;EXC;aug;2013;S;46,58;8,15;917,54;6,94;74,61;3,54;4,31;82,46
161;WD1;EXC;jul;2013;S;43,11;8,63;914,28;7,12;69,47;3,69;4,44;85,72
162;WD1;EXC;jun;2013;S;40,27;8,37;909,28;8,73;64,95;3,47;5,44;90,72
163;WD1;EXC;sep;2013;S;44,06;9,46;911,10;9,63;68,55;1,48;6,00;88,90
164;WD2;BGR;jun;2013;H;;;1000,00;14,51;;;9,06;0,00
165;WD2;BGR;jun;2011;P;30,86;6,70;904,63;38,19;59,28;21,19;23,88;95,37
